source_id,kind,host,url
s0246,crossref,api.crossref.org,https://api.crossref.org/works/10.1186/s12935-014-0115-7
s0247,crossref,api.crossref.org,https://api.crossref.org/works/10.1187/cbe-13-08-0152
s0248,crossref,api.crossref.org,https://api.crossref.org/works/10.1200/jco.2007.14.1432
s0249,crossref,api.crossref.org,https://api.crossref.org/works/10.1310/tsr1704-225
s0250,crossref,api.crossref.org,https://api.crossref.org/works/10.1353/pew.2014.0076
s0251,crossref,api.crossref.org,https://api.crossref.org/works/10.1364/biomed.2014.bs3a.14
s0252,crossref,api.crossref.org,https://api.crossref.org/works/10.1364/cleo_si.2011.cmaa5
s0253,crossref,api.crossref.org,https://api.crossref.org/works/10.1364/ol.37.002313
s0254,crossref,api.crossref.org,https://api.crossref.org/works/10.1371/journal.pone.0122447
s0255,crossref,api.crossref.org,https://api.crossref.org/works/10.1371/journal.pone.0131186
s0256,crossref,api.crossref.org,https://api.crossref.org/works/10.1386/jmte.7.2.181_1
s0257,crossref,api.crossref.org,https://api.crossref.org/works/10.14198/aleua.2011.23.13
s0258,crossref,api.crossref.org,https://api.crossref.org/works/10.14452/mr-058-03-2006-07_9
s0259,crossref,api.crossref.org,https://api.crossref.org/works/10.1504/ijmp.2015.071688
s0260,crossref,api.crossref.org,https://api.crossref.org/works/10.1515/ngs-2014-0007
s0261,crossref,api.crossref.org,https://api.crossref.org/works/10.1515/znth-2015-0008
s0262,crossref,api.crossref.org,https://api.crossref.org/works/10.1520/gtj20120024
s0263,crossref,api.crossref.org,https://api.crossref.org/works/10.1525/nclr.2010.13.3.637
s0264,crossref,api.crossref.org,https://api.crossref.org/works/10.1525/phr.2006.75.2.231
s0265,crossref,api.crossref.org,https://api.crossref.org/works/10.1577/m07-029.1
s0266,crossref,api.crossref.org,https://api.crossref.org/works/10.1586/14787210.5.3.403
s0267,crossref,api.crossref.org,https://api.crossref.org/works/10.1615/ichmt.2007.radtransfproc.120
s0268,crossref,api.crossref.org,https://api.crossref.org/works/10.1615/interjfluidmechres.v34.i5.10
s0269,crossref,api.crossref.org,https://api.crossref.org/works/10.1650/0010-5422%282006%29108%5B678%3Ancopbb%5D2.0.co%3B2
s0270,crossref,api.crossref.org,https://api.crossref.org/works/10.1666/08-007.1
s0271,crossref,api.crossref.org,https://api.crossref.org/works/10.1681/asn.2012070642
s0272,crossref,api.crossref.org,https://api.crossref.org/works/10.1890/07-1162.1
s0273,crossref,api.crossref.org,https://api.crossref.org/works/10.1890/11-1700.1
s0274,crossref,api.crossref.org,https://api.crossref.org/works/10.1891/215805312807022923
s0275,crossref,api.crossref.org,https://api.crossref.org/works/10.19030/jabr.v16i2.2032
s0276,crossref,api.crossref.org,https://api.crossref.org/works/10.19030/jber.v7i8.2326
s0277,crossref,api.crossref.org,https://api.crossref.org/works/10.19070/2167-8685-150007e
s0278,crossref,api.crossref.org,https://api.crossref.org/works/10.2111/rangelands-d-12-00073.1
s0279,crossref,api.crossref.org,https://api.crossref.org/works/10.2134/agronj2013.0220
s0280,crossref,api.crossref.org,https://api.crossref.org/works/10.2139/ssrn.2171054
s0281,crossref,api.crossref.org,https://api.crossref.org/works/10.2139/ssrn.2260429
s0282,crossref,api.crossref.org,https://api.crossref.org/works/10.2139/ssrn.980710
s0283,crossref,api.crossref.org,https://api.crossref.org/works/10.21983/p3.0050.1.31
s0284,crossref,api.crossref.org,https://api.crossref.org/works/10.2307/23488255
s0285,crossref,api.crossref.org,https://api.crossref.org/works/10.24972/ijts.2010.29.2.iii
s0286,crossref,api.crossref.org,https://api.crossref.org/works/10.24972/ijts.2012.31.2.33
s0287,crossref,api.crossref.org,https://api.crossref.org/works/10.2514/1.i010288
